Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,150.160004,150.369995,147.720001,148.009995,146.800598,58724100
2022-11-22,148.130005,150.419998,146.929993,150.179993,148.952850,51804100
2022-11-23,149.449997,151.830002,149.339996,151.070007,149.835632,58301400
2022-11-25,148.309998,148.880005,147.119995,148.110001,146.899796,35195900
2022-11-28,145.139999,146.639999,143.380005,144.220001,143.041565,69246000
2022-11-29,144.289993,144.809998,140.350006,141.169998,140.016495,83763800
2022-11-30,141.399994,148.720001,140.550003,148.029999,146.820435,111380900
2022-12-01,148.210007,149.130005,146.610001,148.309998,147.098145,71250400
2022-12-02,145.960007,148.000000,145.649994,147.809998,146.602234,65447400
2022-12-05,147.770004,150.919998,145.770004,146.630005,145.431900,68826400
2022-12-06,147.070007,147.300003,141.919998,142.910004,141.742279,64727200
2022-12-07,142.190002,143.369995,140.000000,140.940002,139.788376,69721100
2022-12-08,142.360001,143.520004,141.100006,142.649994,141.484406,62128300
2022-12-09,142.339996,145.570007,140.899994,142.160004,140.998413,76097000
2022-12-12,142.699997,144.500000,141.059998,144.490005,143.309357,70462700
2022-12-13,149.500000,149.970001,144.240005,145.470001,144.281357,93886200
2022-12-14,145.350006,146.660004,141.160004,143.210007,142.039825,82291200
2022-12-15,141.110001,141.800003,136.029999,136.500000,135.384644,98931900
2022-12-16,136.690002,137.649994,133.729996,134.509995,133.410904,160156900
2022-12-19,135.110001,135.199997,131.320007,132.369995,131.288406,79592600
