Date,Open,High,Low,Close,Adj Close,Volume
2021-11-19,342.640015,345.100006,342.200012,343.109985,335.709747,21963400
2021-11-22,344.619995,349.670013,339.549988,339.829987,332.500549,31031100
2021-11-23,337.049988,339.450012,333.559998,337.679993,330.396942,30427600
2021-11-24,336.279999,338.160004,333.910004,337.910004,330.621948,21661300
2021-11-26,334.350006,337.929993,328.119995,329.679993,322.569427,24217200
2021-11-29,334.940002,339.029999,334.739990,336.630005,329.369476,28563500
2021-11-30,335.320007,337.779999,328.989990,330.589996,323.459808,42885600
2021-12-01,335.130005,339.279999,329.390015,330.079987,322.960815,33337600
2021-12-02,330.299988,333.489990,327.799988,329.489990,322.383545,30766000
2021-12-03,331.989990,332.700012,318.029999,323.010010,316.043335,41779300
2021-12-06,323.950012,327.450012,319.230011,326.190002,319.154724,30032600
2021-12-07,331.640015,335.799988,330.100006,334.920013,327.696472,31021900
2021-12-08,335.309998,335.500000,330.799988,334.970001,327.745331,24761000
2021-12-09,334.410004,336.489990,332.119995,333.100006,325.915680,22214200
2021-12-10,334.980011,343.000000,334.790009,342.540009,335.152069,38095700
2021-12-13,340.679993,343.790009,339.079987,339.399994,332.079773,28899400
2021-12-14,333.220001,334.640015,324.109985,328.339996,321.258392,44438700
2021-12-15,328.609985,335.190002,324.500000,334.649994,327.432251,35381100
2021-12-16,335.709991,336.760010,323.019989,324.899994,317.892639,35034800
2021-12-17,320.880005,324.920013,317.250000,323.799988,316.816223,47750300
